Relic Name,#,Notes
Ancient Sheikah Orb,1,"**__Ancient Sheikah Orb__**

**Description:** The Ancient Sheikah Orb is a mysterious artifact of ancient Sheikah origin, renowned for its enigmatic properties and intricate design. Crafted by the skilled artisans of the Sheikah tribe, this orb possesses a captivating allure, its surface adorned with intricate glyphs and symbols that hint at its mystical purpose.

**Functionality:** Serving as both a key and a catalyst, the Ancient Sheikah Orb unlocks hidden realms and arcane knowledge within the depths of the Inariko library. When brought into proximity with certain mechanisms or sealed passages, it emits a faint glow, resonating with the ancient magic that permeates the library's chambers. By harnessing the orb's power, seekers of knowledge can unveil long-forgotten secrets and embark on quests of discovery and enlightenment.

**Origins:** The origins of the Ancient Sheikah Orb are shrouded in mystery, lost to the annals of time and legend. Some believe it to be a relic of the Sheikah's golden age, a testament to their mastery of technology and magic. Others speculate that it was created by an ancient sage or prophet, imbued with divine wisdom and foresight to guide future generations in their quest for truth.

**Uses:** The Orb acts as a key to unlock a concealed chamber nestled within the depths of the Inariko Library. Within its confines lie a trove of ancient relics and manuscripts. Recognizing its significance, the scholars of the library opt to designate this chamber as a repository for any forthcoming discoveries."
Ancient Tablet,1,"**__Ancient Tablet__**

**Description:** The Ancient Tablet is a revered relic steeped in the lore of Hyrule, embodying the timeless virtues of Power, Courage, and Wisdom. Crafted by ancient hands, each tablet is a testament to the enduring legacy of a bygone era, its weathered surface bearing the weight of centuries of history and wisdom. However, amidst the depiction of the three revered oracles, a fourth figure lurks in the shadows, hinting at a sinister presence intertwined with the sacred virtues.

**Functionality:** Scattered across villages throughout the land, the Ancient Tablets serve as symbols of inspiration and guidance for those who seek the path of greatness. Each tablet represents one of the three sacred virtues, offering wisdom and insight to those who study its inscriptions. As seekers of truth and enlightenment, individuals who encounter these tablets are reminded of the timeless values that have guided heroes and sages throughout the ages.

**Origins:** The origins of the Ancient Tablets are shrouded in mystery, their creation attributed to the ancient civilizations that once flourished in Hyrule. Some believe them to be relics of the goddesses themselves, imbued with divine energy to guide and inspire mortal beings. Others speculate that they were crafted by wise scholars or legendary heroes, their purpose to serve as beacons of hope and guidance in times of darkness and uncertainty.

**Uses:** As of this time, the Ancient Tablet serves as a cultural artifact.
"
Ancient Tablet of Courage,1,"**__Ancient Tablet of Courage__**

**Description:** The Ancient Tablet of Courage stands as a testament to bravery and heroism in the annals of Hyrule's history. Adorned with symbols of valor and resilience, its weathered surface bears witness to the indomitable spirit that drives adventurers forward. Amidst depictions of epic battles and noble deeds, a palpable aura of courage emanates, inspiring all who gaze upon it to stand tall in the face of adversity.

**Functionality:** Scattered across the land, the Ancient Tablet of Courage serves as a rallying cry for those who dare to defy darkness and embrace their inner hero. Each inscription imparts the wisdom of overcoming fear and doubt, instilling in the hearts of seekers the resolve to confront evil wherever it may lurk. As symbols of bravery and determination, these tablets embolden individuals to rise above their limitations and embrace their destiny.

**Origins:** The origins of the Ancient Tablet of Courage are veiled in legend and myth. Some believe it to be a gift from the spirits of Hyrule, bestowed upon mortals to inspire acts of heroism and valor. Others speculate that it was forged by legendary warriors, imbued with their unyielding courage and unwavering resolve. Regardless of its origins, the tablet stands as a beacon of hope for all who champion the cause of righteousness.

**Uses:** Revered as a symbol of bravery and heroism, the Ancient Tablet of Courage serves as a rallying point for adventurers and defenders of justice. Its teachings echo across time and space, reminding all who encounter it of the enduring power of the human spirit.
"
Ancient Tablet of Power,1,"**__Ancient Tablet of Power__**

**Description:** The Ancient Tablet of Power stands as a monument to strength and determination in the annals of Hyrule's history. Etched with symbols of valor and resilience, its weathered surface bears witness to the relentless force that drives champions forward. Amidst depictions of towering warriors and mighty beasts, a faint aura of power emanates, hinting at the untold potential awaiting those who dare to grasp it.

**Functionality:** Scattered across the land, the Ancient Tablet of Power serves as a beacon for those who seek to harness their inner strength and rise above adversity. Each inscription imparts the wisdom of overcoming challenges, instilling in the hearts of seekers the courage to face their fears head-on. As symbols of indomitable will, these tablets inspire individuals to tap into their inner reserves and strive for greatness.

**Origins:** The origins of the Ancient Tablet of Power remain shrouded in myth and legend. Some believe it to be a gift from the gods, bestowed upon mortals to empower them in times of need. Others speculate that it was crafted by ancient heroes, imbued with their unwavering determination to protect Hyrule from darkness. Regardless of its origins, the tablet stands as a testament to the enduring strength of the human spirit.

**Uses:** Revered as a symbol of resilience and fortitude, the Ancient Tablet of Power serves as a source of inspiration for warriors and adventurers alike. Its teachings resonate across generations, reminding all who encounter it of the boundless potential that lies within.
"
Ancient Tablet of Wisdom,1,"**__Ancient Tablet of Wisdom__**

**Description:** The Ancient Tablet of Wisdom embodies the profound insights and enlightenment that have guided sages and scholars throughout the ages. Adorned with intricate glyphs and symbols of knowledge, its weathered surface reflects the timeless pursuit of truth and understanding. Amidst depictions of ancient tomes and celestial phenomena, a serene aura of wisdom emanates, beckoning seekers to unlock the secrets of the universe.

**Functionality:** Scattered across the realm, the Ancient Tablet of Wisdom serves as a conduit for those who seek enlightenment and clarity of mind. Each inscription imparts ancient teachings and philosophical truths, inspiring seekers to broaden their horizons and deepen their understanding of the world around them. As symbols of intellectual curiosity, these tablets invite individuals to embark on a journey of self-discovery and introspection.

**Origins:** The origins of the Ancient Tablet of Wisdom are steeped in mystery and speculation. Some believe it to be a relic of divine origin, entrusted to mortals as a guide on their quest for knowledge. Others speculate that it was crafted by ancient scholars, imbued with their collective wisdom and insight. Regardless of its origins, the tablet stands as a testament to the enduring pursuit of truth and enlightenment.

**Uses:** Revered as a symbol of knowledge and enlightenment, the Ancient Tablet of Wisdom serves as a source of inspiration for scholars and seekers of truth. Its teachings transcend time and space, offering guidance to all who seek to unravel the mysteries of existence.
"
Ancient Zonai Bottle,Unlimited,"**__Ancient Zonai Bottle__**

**Description:** The Ancient Zonai Bottle, a relic of the mysterious Zonai civilization, exudes an air of enigma with its intricate design and the verdant hue of its contents—an unidentified green liquid that captivates scholars and adventurers alike.

**Functionality:** Discovered within remote and ancient ruins, these bottles serve as cryptic artifacts left behind by the Zonai people. The green liquid within, its properties shrouded in mystery, ignites speculation ranging from potent elixir to symbolic representation of the Zonai's affinity with nature.

**Origins:** With roots tracing back to the lost civilization of the Zonai, known for their advanced magical knowledge and the enigmatic ruins scattered throughout Hyrule, the Ancient Zonai Bottles stand as echoes of a civilization steeped in legend and mystique. The purpose behind these vessels within Zonai society remains elusive, sparking theories of ceremonial significance or alchemical experimentation.

**Uses:** Scholars speculate that the green liquid within may grant extraordinary abilities, ranging from heightened senses to enhanced agility or even brief bursts of magical abilities, to those who ingest it, yet they strongly advise against any attempts to do so.
"
Ancient Zonai Dragon Idol,Unlimited,"**__Ancient Zonai Dragon Idol__**

**Description:** The Ancient Zonai Dragon Idol stands as a majestic relic from the enigmatic Zonai civilization, crafted with exquisite detail and reverence. Carved from jade, this idol depicts a powerful dragon in striking detail, its form radiating an aura of mystery and ancient power.

**Functionality:** Revered as a symbol of strength and protection, the Ancient Zonai Dragon Idol is believed to hold mystical properties tied to the ancient magic of the Zonai people. It is said that those who possess or venerate the idol may receive blessings of resilience and courage, while invoking its name is thought to ward off malevolent forces and bring fortune to those who honor it.

**Origins:** Originating from the lost Zonai civilization, renowned for their deep connection to nature and mastery of arcane arts, the Ancient Zonai Dragon Idol represents the zenith of their craftsmanship and spiritual beliefs. Believed to be guardians of the land, dragons held a special significance in Zonai culture, symbolizing power, wisdom, and the eternal cycle of life.

**Uses:** Scholars and historians study the Ancient Zonai Dragon Idol to unravel the mysteries of the lost Zonai civilization.
"
Ancient Zonai Owl Statue,Unlimited,"**__Ancient Zonai Owl Statue__**

**Description:** The Ancient Zonai Owl Statue stands as a testament to the craftsmanship and spiritual reverence of the long-lost Zonai civilization. Carved from stone with meticulous detail, this statue depicts an owl with outstretched wings, its eyes imbued with an aura of wisdom and mystery.

**Functionality:** Revered as a symbol of foresight and guidance, the Ancient Zonai Owl Statue is believed to possess mystical properties tied to the ancient magic of the Zonai people. It is said that those who seek its wisdom may receive visions or insights into the future, while others believe that it serves as a guardian spirit, watching over sacred sites and offering protection to those who honor it.

**Origins:** Originating from the enigmatic Zonai civilization, known for their deep connection to nature and the spiritual realm, the Ancient Zonai Owl Statue holds a sacred place in their culture and beliefs. Owls were revered as messengers of the divine and symbols of intuition and enlightenment, making them a central motif in Zonai art and spirituality.

**Uses:** Tribal elders or wise leaders displayed the Ancient Zonai Owl Statue as a symbol of their wisdom and guidance. Its presence in council chambers or communal gathering spaces reinforced the leader's commitment to upholding the values of insight and intuition embodied by the Zonai civilization.
"
Ancient Zonai Tapestry,1,"**__Ancient Zonai Tapestry__**

**Description:** The Ancient Zonai Tapestry is a captivating relic that weaves together the history and mystique of the long-lost Zonai civilization. Woven with intricate patterns and vibrant colors, this tapestry depicts scenes of ancient rituals, heroic deeds, and enigmatic symbols, offering a tantalizing glimpse into the culture and beliefs of a bygone era.

**Functionality:** Revered as a chronicle of the past and a guide to the future, the Ancient Zonai Tapestry is believed to possess mystical properties tied to the ancient magic of the Zonai people. It is said that those who study its intricate patterns may gain insights into the workings of destiny and the ebb and flow of time. Some whispers even suggest that the tapestry has the ability to predict future events, foretelling both moments of triumph and impending calamity.

**Origins:** Originating from the enigmatic Zonai civilization, renowned for their deep connection to nature and the arcane arts, the Ancient Zonai Tapestry holds a revered place in their culture and lore. Crafted by skilled artisans and infused with spiritual significance, the tapestry served as a sacred artifact, adorning the halls of temples and ceremonial chambers throughout Zonai territory.

**Uses:** It was believed this tapestry possessed mystical properties that granted insight into the workings of destiny and the passage of time. Seekers of knowledge and foresight consulted the tapestry, interpreting its patterns and symbols to gain glimpses of future events or understand the underlying forces shaping their lives.
"
Blessed Hourglass,Unlimited,"**__Blessed Hourglass__**

**Description:** The Blessed Hourglass is a rare and potent artifact, imbued with ancient magic and revered for its ability to manipulate the flow of time in the face of blight. Crafted with exquisite craftsmanship, this hourglass radiates a divine aura, hinting at its sacred purpose.

**Functionality:** When activated, the Blessed Hourglass grants its bearer the remarkable ability to pause the relentless advance of blight for a duration of one week. With a mere turn of the hourglass, time itself seems to stand still within the affected region, providing a temporary respite from the encroaching darkness. This invaluable ability offers a crucial advantage to those combating the blight, allowing them to strategize, regroup, and bolster their defenses before facing the next wave of darkness.

**Origins:** The origins of the Blessed Hourglass are steeped in legend and myth, with tales dating back to the ancient times of Hyrule's history. Some believe it to be a divine gift bestowed by benevolent deities, while others attribute its creation to powerful sorcerers or wise sages who sought to protect the land from the ravages of blight. Regardless of its origins, the Blessed Hourglass remains a symbol of hope and resilience in the face of adversity.

**Uses:** When activated within a village, Blessed Hourglass grants its inhabitants a respite from the need to roll for an entire week during times of blight, offering temporary relief from the affliction's effects.
"
